date,card_id,rating,next_interval,next_due
2023-04-16,1,s,1,2023-04-17
2023-04-16,2,s,1,2023-04-17
2023-04-17,1,f,2,2023-04-19
2023-04-17,2,f,2,2023-04-19
2023-04-18,3,s,1,2023-04-19
2023-04-23,1,f,13,2023-05-06
2023-04-23,2,f,11,2023-05-04
2023-04-23,3,f,11,2023-05-04
2023-05-04,3,m,14,2023-05-18
2023-05-04,2,f,25,2023-05-29
2023-06-11,1,m,61,2023-08-11
2023-06-11,2,f,90,2023-09-09
2023-06-11,3,f,75,2023-08-25
2023-07-01,1,m,25,2023-07-26
2023-07-01,2,f,42,2023-08-12
2023-07-01,3,f,36,2023-08-06
2023-07-01,4,s,1,2023-07-02
2023-07-01,5,s,1,2023-07-02
2023-07-01,6,s,1,2023-07-02
2023-07-01,7,s,1,2023-07-02
2023-07-01,8,s,1,2023-07-02
